bin,mean_dist,n_samples,prevalence,aucroc,ap,f1
0,-2.76250661103116,35,0.5142857142857142,0.8169934640522876,0.861075681380119,0.6153846153846154
1,-2.518812121578877,35,0.17142857142857143,0.8908045977011495,0.6610060690943044,0.2857142857142857
2,-2.4913178762826518,35,0.08571428571428572,0.5833333333333333,0.12813434552564987,0.0
3,-2.4755745811167755,35,0.0,,,0.0
4,-2.4646172172622247,35,0.02857142857142857,0.7352941176470589,0.1,0.0
5,-2.451401825479835,35,0.02857142857142857,0.4117647058823529,0.047619047619047616,0.0
6,-2.4364066429523707,35,0.08571428571428572,0.47916666666666663,0.10284160284160285,0.0
7,-2.4057077865832373,38,0.02631578947368421,0.8918918918918919,0.2,0.0
