bin,mean_dist,n_samples,prevalence,aucroc,ap,f1
0,-3.035988373165459,63,0.015873015873015872,0.9838709677419355,0.5,0.0
1,-2.941799872981902,63,0.0,,,0.0
2,-2.8481188054632356,63,0.031746031746031744,0.9836065573770492,0.5833333333333333,0.0
3,-2.569272146562089,63,0.0,,,0.0
4,-2.5273529500308665,63,0.015873015873015872,1.0,1.0,0.0
5,-2.4824001177949615,63,0.09523809523809523,0.9181286549707602,0.40767195767195774,0.0
6,-2.439304664857055,63,0.4444444444444444,0.8469387755102041,0.7433853564050029,0.0
7,-2.396751730367016,64,0.453125,0.5625615763546798,0.5132474112738713,0.0
