subset,metric,predicted,actual,n,prevalence,source,model,mean_dist
dist_bin3,aucroc,0.39018906941873743,0.4168725885464083,864,0.1909722222222222,v3_combined,nettcr,0.007665399936073485
dist_bin4,aucroc,0.3705397105809529,0.45788671316519086,864,0.21643518518518517,v3_combined,nettcr,0.4877056425323295
dist_bin5,aucroc,0.3829351786466922,0.3275255754475703,864,0.21296296296296297,v3_combined,nettcr,0.7309640490825976
dist_bin6,aucroc,0.39239527934895385,0.38605341246290803,864,0.2199074074074074,v3_combined,nettcr,0.8817718775586291
dist_bin7,aucroc,0.3911162062507368,0.3620507321945273,867,0.23760092272202998,v3_combined,nettcr,1.0497412750942419
dist_bin0,aucroc,0.4888818732022071,0.5555773212521845,1633,0.19657072872014697,v4_combined,nettcr,-3.1616103860353872
dist_bin1,aucroc,0.4686702466891727,0.4550411667842862,1633,0.19902020820575628,v4_combined,nettcr,-2.9928743722986337
dist_bin2,aucroc,0.4656005978775863,0.43188958655287474,1633,0.20269442743417024,v4_combined,nettcr,-2.9269073663076637
dist_bin3,aucroc,0.4267059579825573,0.41000527323693486,1633,0.16105327617881202,v4_combined,nettcr,-1.293226194285986
dist_bin4,aucroc,0.4129097359230133,0.3543083646142641,1633,0.15921616656460502,v4_combined,nettcr,0.4892523057241068
dist_bin5,aucroc,0.41723648689719117,0.3870928844565663,1633,0.31598285364360074,v4_combined,nettcr,0.8170232797947231
dist_bin6,aucroc,0.4092255501989928,0.31740002298549935,1633,0.2535211267605634,v4_combined,nettcr,0.9694670157198838
dist_bin7,aucroc,0.40712567780400116,0.36203697426665365,1638,0.1813186813186813,v4_combined,nettcr,1.112491846341989
dist_bin0,aucroc,0.7209030750084614,0.8233513917734498,1715,0.2956268221574344,mcpas,nettcr,-1.549294659845297
dist_bin1,aucroc,0.3756662565140175,0.5531557017983855,1715,0.11486880466472303,mcpas,nettcr,0.5313886915316939
dist_bin2,aucroc,0.37525042246152507,0.4662250104123282,1715,0.08571428571428572,mcpas,nettcr,0.7045830520923517
dist_bin3,aucroc,0.3694327505563519,0.43953893464656674,1715,0.10612244897959183,mcpas,nettcr,0.7861777327456874
dist_bin4,aucroc,0.3776711239659168,0.4368200515127052,1715,0.1206997084548105,mcpas,nettcr,0.8468178766985124
dist_bin5,aucroc,0.37458720745704477,0.4451996292288056,1715,0.16851311953352768,mcpas,nettcr,0.904520640813519
dist_bin6,aucroc,0.37884650634193023,0.4194925021449884,1715,0.1988338192419825,mcpas,nettcr,0.9724805214479987
dist_bin7,aucroc,0.3912684113687897,0.49226475279106857,1718,0.11525029103608847,mcpas,nettcr,1.1434852003155476
dist_bin0,aucroc,0.42397152165967317,0.6633975002280814,1195,0.24351464435146444,iedb_sars,nettcr,-2.8494198363494925
dist_bin1,aucroc,0.38897173094846477,0.6118183354814173,1195,0.15732217573221757,iedb_sars,nettcr,-1.8751265174296372
dist_bin2,aucroc,0.398648081805572,0.48696785403996523,1195,0.03682008368200837,iedb_sars,nettcr,-1.7392045453890952
dist_bin3,aucroc,0.4051735971450949,0.5197441487392538,1195,0.11548117154811716,iedb_sars,nettcr,-1.3275332651908547
dist_bin4,aucroc,0.40472833227535604,0.42249450930528265,1195,0.17656903765690377,iedb_sars,nettcr,-0.42053277465555666
dist_bin5,aucroc,0.40628659893313585,0.4876162222373775,1195,0.14393305439330545,iedb_sars,nettcr,-0.34396287762127137
dist_bin6,aucroc,0.4022160681766918,0.46171970209884905,1195,0.11715481171548117,iedb_sars,nettcr,-0.17260167929790748
dist_bin7,aucroc,0.3952455248495434,0.47704203243997445,1197,0.13951545530492898,iedb_sars,nettcr,0.9329412629780557
dist_bin0,aucroc,0.8618056807459218,0.7355582288325071,1503,0.23952095808383234,seen_test,atm_tcr,-3.2623952450383484
dist_bin1,aucroc,0.7089481778553215,0.7212122977209184,1503,0.21224218230206254,seen_test,atm_tcr,-3.055529808147129
dist_bin2,aucroc,0.6955142465897074,0.7212327090219122,1503,0.22355289421157684,seen_test,atm_tcr,-3.007332288300507
dist_bin3,aucroc,0.6810733426012531,0.699819163502028,1503,0.21956087824351297,seen_test,atm_tcr,-2.976129058380797
dist_bin4,aucroc,0.6975172266962112,0.716552932018682,1503,0.21823020625415834,seen_test,atm_tcr,-2.9439174741648726
dist_bin5,aucroc,0.6781036335674155,0.6805997883774387,1503,0.21689953426480374,seen_test,atm_tcr,-2.8850236437522856
dist_bin6,aucroc,0.6759502037452945,0.701980005012671,1503,0.19827012641383898,seen_test,atm_tcr,-1.0481739593360702
dist_bin7,aucroc,0.6854228740083285,0.6649207555362571,1505,0.2186046511627907,seen_test,atm_tcr,0.34761572238496585
dist_bin0,aucroc,0.5307111081270603,0.7446574558717699,2050,0.19951219512195123,unseen_fold34,atm_tcr,-1.8709249679505735
dist_bin1,aucroc,0.5210170616817648,0.5556286583310349,2050,0.14536585365853658,unseen_fold34,atm_tcr,0.0891396203964559
dist_bin2,aucroc,0.508383349327237,0.4822833137153927,2050,0.19219512195121952,unseen_fold34,atm_tcr,0.697394959813401
dist_bin3,aucroc,0.5157397331970692,0.4721565588569878,2050,0.24,unseen_fold34,atm_tcr,0.7948227717530768
dist_bin4,aucroc,0.5152626866138678,0.4665748317604428,2050,0.2575609756097561,unseen_fold34,atm_tcr,0.8566683545191899
dist_bin5,aucroc,0.515120930564667,0.44699382294213746,2050,0.23219512195121952,unseen_fold34,atm_tcr,0.927870159401871
dist_bin6,aucroc,0.508595542094556,0.4507079119571684,2050,0.2,unseen_fold34,atm_tcr,1.0171228942540145
dist_bin7,aucroc,0.5063485854182732,0.4304483146495844,2050,0.18341463414634146,unseen_fold34,atm_tcr,1.1231809060919016
dist_bin0,aucroc,0.6913149740686069,0.5879314688838498,861,0.21951219512195122,v3_combined,atm_tcr,-3.103936457364453
dist_bin1,aucroc,0.6731691713440326,0.5311497524141675,861,0.2067363530778165,v3_combined,atm_tcr,-2.910075831421232
dist_bin2,aucroc,0.5952917581736644,0.559932239657632,861,0.18583042973286876,v3_combined,atm_tcr,-1.2524584284396207
dist_bin3,aucroc,0.5388918159370848,0.49450285164570884,861,0.1951219512195122,v3_combined,atm_tcr,0.011663647516036327
dist_bin4,aucroc,0.5452964625181115,0.4941956231861322,861,0.22067363530778164,v3_combined,atm_tcr,0.48878227285529224
dist_bin5,aucroc,0.5414450144441504,0.5367702746564862,861,0.22531939605110338,v3_combined,atm_tcr,0.7311321958639712
dist_bin6,aucroc,0.5468621260695482,0.5978599867285999,861,0.20441347270615565,v3_combined,atm_tcr,0.8815990253390459
dist_bin7,aucroc,0.5502391492294619,0.5536090835360907,865,0.20809248554913296,v3_combined,atm_tcr,1.0496609954988139
dist_bin0,aucroc,0.6424838167292478,0.8252937194269742,1632,0.22058823529411764,v4_combined,atm_tcr,-3.1616941052940306
dist_bin1,aucroc,0.5899811684438467,0.6837859010979741,1632,0.19301470588235295,v4_combined,atm_tcr,-2.9929303611041727
dist_bin2,aucroc,0.572175382157224,0.6636944181646168,1632,0.18504901960784315,v4_combined,atm_tcr,-2.9270690019138863
