study,n,raw_aucroc,cal_aucroc,delta_aucroc,raw_ap,cal_ap,delta_ap
XBCR-net,21,0.725961538461538,0.889423076923077,0.163461538461539,0.625343406593407,0.737190934065934,0.111847527472527
deepAntigen,100,0.470588235294118,0.601568627450980,0.130980392156863,0.145215549351836,0.305411860312400,0.160196310960564
AntibioticsAI,142,0.767921146953405,0.832885304659498,0.064964157706093,0.525090297816902,0.560783933476667,0.035693635659766
BigMHC,834,0.520859330813635,0.554578997926187,0.033719667112551,0.303970211319648,0.335271929518151,0.031301718198503
PanPep,882,0.509654785437773,0.525819022321061,0.016164236883288,0.500249560204868,0.525064128418074,0.024814568213206
