bin,mean_dist,n_samples,prevalence,aucroc,ap,f1
0,-4.442719121638635,634,0.943217665615142,0.7014585655890003,0.9678541965452085,0.8203650336215178
1,-3.4481850689691944,634,0.6561514195583596,0.6564043754410727,0.7910298590948426,0.663923182441701
2,-2.9435982055421612,634,0.4889589905362776,0.6307745917960972,0.6251159965732622,0.5709281961471103
3,-2.5601940621512465,634,0.4400630914826498,0.6366298147306779,0.5609059293763141,0.5215686274509804
4,-2.203467349533714,634,0.3990536277602524,0.5595842021723569,0.4575365340781202,0.40969162995594716
5,-1.8399830764011877,634,0.3501577287066246,0.5790802938861191,0.4062933979636446,0.39429928741092635
6,-1.4118727151355246,634,0.3264984227129338,0.6003292264874588,0.39636650170057885,0.37244897959183676
7,-0.6878445412515147,634,0.27129337539432175,0.6483439041578577,0.3994191123423105,0.3836477987421384
