bin,mean_dist,n_samples,prevalence,aucroc,ap,f1
0,-3.231165556819027,214,0.5093457943925234,0.5560506771515946,0.5707533523443198,0.5887096774193549
1,-1.9873439859593496,214,0.514018691588785,0.5185314685314685,0.5407418619842592,0.5391304347826087
2,-1.2305585763754672,214,0.5467289719626168,0.6623931623931624,0.7101613388305124,0.6875
3,-0.6972215459751171,214,0.5514018691588785,0.5495233050847458,0.592969061082698,0.5872340425531914
4,-0.25621396309059463,214,0.5467289719626168,0.5402238082650453,0.6482697215353883,0.5800865800865801
5,-0.018004315276468754,214,0.49065420560747663,0.41747487986020093,0.42545936078697877,0.4748858447488584
6,0.08385393918929925,214,0.40654205607476634,0.53552357679428,0.4624400444411636,0.46464646464646464
7,0.17916352660879284,216,0.4351851851851852,0.40521450994070457,0.36204138522040874,0.43119266055045874
